,Australia,Denmark,Norway,Belgium,France,New Zealand,Sweden,Switzerland,Canada,Finland,Austria,Germany,Iceland,Luxembourg,Ireland,Netherlands,United Kingdom,Italy,Japan,Israel,Greece,Portugal,Spain,Turkiye,Hungary,Latvia,Slovenia,Poland,Lithuania,Estonia,USA,Costa Rica,Columbia,Czechia,Chile,Mexico,South Korea,
1990,FALSE,FALSE,,,,TRUE,,,,,FALSE,FALSE,,,,,,,FALSE,,TRUE,,,,TRUE,,FALSE,,,,,TRUE,FALSE,TRUE,,,,
1991,,,,FALSE,,,FALSE,FALSE,,FALSE,,,FALSE,,,,,,,,,FALSE,,TRUE,,,,FALSE,,,,,,,,,,
1992,,,,,,,,,,,,,,,FALSE,,FALSE,FALSE,,TRUE,,,,,,,TRUE,,TRUE,TRUE,TRUE,,,TRUE,,,,
1993,FALSE,,FALSE,,FALSE,FALSE,,,FALSE,,,,,,,,,,TRUE,,TRUE,,FALSE,,,,,TRUE,,,,,,,FALSE,,,
1994,,FALSE,,,,,FALSE,,,,FALSE,TRUE,,FALSE,,FALSE,,TRUE,,,,,,,TRUE,,,,,,,TRUE,FALSE,,,TRUE,,
1995,,,,FALSE,,,,TRUE,,TRUE,FALSE,,FALSE,,,,,,,,,TRUE,,TRUE,,TRUE,,,,TRUE,,,,,,,,
1996,TRUE,,,,,FALSE,,,,,,,,,,,,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,FALSE,,TRUE,,FALSE,,,FALSE,,,TRUE,
1997,,,TRUE,,TRUE,,,,FALSE,,,,,,FALSE,,TRUE,,,,,,,,,,,TRUE,,,,,,,FALSE,TRUE,,
1998,FALSE,FALSE,,,,,FALSE,,,,,TRUE,,,,FALSE,,,,,,,,,TRUE,TRUE,,,,,,TRUE,FALSE,TRUE,,,,
1999,,,,TRUE,,TRUE,,FALSE,,FALSE,FALSE,,FALSE,FALSE,,,,,,TRUE,,FALSE,,TRUE,,,,,,TRUE,,,,,,,,
2000,,,,,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,FALSE,,TRUE,,TRUE,,,,,FALSE,TRUE,
2001,FALSE,TRUE,TRUE,,,,,,,,,,,,,,FALSE,TRUE,,,,,,,,,,TRUE,,,,,,,FALSE,,,
2002,,,,,TRUE,FALSE,FALSE,,,,TRUE,FALSE,,,FALSE,TRUE,,,,,,TRUE,,TRUE,TRUE,TRUE,,,,,,FALSE,FALSE,FALSE,,,,
2003,,,,FALSE,,,,TRUE,,TRUE,,,FALSE,,,FALSE,,,TRUE,TRUE,,,,,,,,,,TRUE,,,,,,TRUE,,
2004,FALSE,,,,,,,,FALSE,,,,,FALSE,,,,,,,TRUE,,TRUE,,,,TRUE,,TRUE,,FALSE,,,,,,TRUE,
2005,,FALSE,TRUE,,,FALSE,,,,,,TRUE,,,,,FALSE,,TRUE,,,TRUE,,,,,,TRUE,,,,,,,FALSE,,,
2006,,,,,,,TRUE,,TRUE,,TRUE,,,,,FALSE,,TRUE,,TRUE,,,,,FALSE,TRUE,,,,,,TRUE,TRUE,TRUE,,FALSE,,
2007,TRUE,FALSE,,TRUE,FALSE,,,FALSE,,FALSE,,,FALSE,,FALSE,,,,,,FALSE,,,FALSE,,,,TRUE,,TRUE,,,,,,,,
2008,,,,,,TRUE,,,FALSE,,FALSE,,,,,,,TRUE,,,,,FALSE,,,,TRUE,,TRUE,,TRUE,,,,,,TRUE,
2009,,,FALSE,,,,,,,,,FALSE,TRUE,FALSE,,,,,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,TRUE,TRUE,,
2010,FALSE,,,FALSE,,,FALSE,,,,,,,,,TRUE,TRUE,,,,,,,,TRUE,TRUE,,,,,,FALSE,FALSE,FALSE,,,,
2011,,TRUE,,,,FALSE,,FALSE,FALSE,TRUE,,,,,TRUE,,,,,,,TRUE,TRUE,FALSE,,TRUE,TRUE,FALSE,,FALSE,,,,,,,,
2012,,,,,TRUE,,,,,,,,,,,FALSE,,,TRUE,,TRUE,,,,,,,,TRUE,,FALSE,,,,,FALSE,FALSE,
2013,TRUE,,TRUE,,,,,,,,FALSE,FALSE,TRUE,TRUE,,,,TRUE,,FALSE,,,,,,,,,,,,,,TRUE,TRUE,,,
2014,,,,FALSE,,FALSE,TRUE,,,,,,,,,,,,FALSE,,,,,,FALSE,TRUE,TRUE,,,,,TRUE,FALSE,,,,,
2015,,TRUE,,,,,,FALSE,TRUE,TRUE,,,,,,,FALSE,,,FALSE,TRUE,FALSE,FALSE,FALSE,,,,TRUE,,FALSE,,,,,,FALSE,,
2016,FALSE,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,FALSE,,,,,,TRUE,,TRUE,,,,,,TRUE,
2017,,,FALSE,,TRUE,FALSE,,,,,TRUE,FALSE,TRUE,,,FALSE,FALSE,,FALSE,,,,,,,,,,,,,,,TRUE,TRUE,,,
2018,,,,,,,FALSE,,,,,,,FALSE,,,,TRUE,,,,,,FALSE,FALSE,TRUE,TRUE,,,,,FALSE,TRUE,,,TRUE,,
2019,FALSE,TRUE,,FALSE,,,,FALSE,FALSE,TRUE,FALSE,,,,,,FALSE,,,FALSE,TRUE,TRUE,TRUE,,,,,FALSE,,TRUE,,,,,,,,
2020,,,,,,TRUE,,,,,,,,,TRUE,,,,,FALSE,,,,,,,,,FALSE,,TRUE,,,,,,FALSE,
2021,,,TRUE,,,,,,FALSE,,,TRUE,FALSE,,,FALSE,,,FALSE,TRUE,,,,,,,,,,,,,,TRUE,FALSE,FALSE,,
2022,TRUE,FALSE,,,FALSE,,TRUE,,,,,,,,,,,TRUE,,TRUE,,FALSE,,,FALSE,TRUE,TRUE,,,,,TRUE,TRUE,,,,,
2023,,,,,,TRUE,,FALSE,,TRUE,,,,TRUE,,TRUE,,,,,FALSE,,TRUE,FALSE,,,,TRUE,,TRUE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,