,Australia,Denmark,Norway,Belgium,France,New Zealand,Sweden,Switzerland,Canada,Finland,Austria,Germany,Iceland,Luxembourg,Ireland,Netherlands,United Kingdom,Italy,Japan,Israel,Malta,Greece,Portugal,Spain,Turkey,Czech Republic,Hungary,Latvia,Romania,Slovakia,Slovenia,Poland,Cyprus,Lithuania,Bulgaria,Croatia,Estonia,USA,Costa_Rica,Columbia,Czechia,Chile,Mexico
1900,,,False,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,
1901,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1902,,,,False,False,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1903,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1904,,,,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,
1905,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906,False,False,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1908,,,,False,,False,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,
1909,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1910,True,True,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1911,,,,,,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912,,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
1913,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1914,True,,,False,True,True,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1917,True,,,,,,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,,True,True,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,
1919,False,,,True,True,False,,False,,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920,,False,,,,,False,,,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
1921,,,True,True,,,False,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,True,,,,,False,,False,,False,,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,
1923,,,,,,,,,,,False,,True,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,,True,False,,True,,False,,,,,False,,,,,False,,,,,,,,,,,,,,,,,,,,,False,,,,,
1925,False,,,True,,False,,False,True,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,,False,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927,,,True,,,,,,,False,False,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,False,,,,True,False,False,False,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,
1929,False,False,,True,,,,,,False,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,
1930,,,False,,,,,,True,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931,True,,,,,True,,True,,,,,False,False,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,
1932,,False,,False,True,,False,,,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
1933,,,False,,,,,,,False,,False,False,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,False,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935,,False,,,,False,,False,True,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,,,False,True,True,,False,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,
1937,True,,,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,,,,,,False,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939,,False,,True,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,False,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,
1942,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,False,False,,,,False,,False,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944,,,,,,,False,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,
1945,,False,False,,True,,,,False,False,True,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
1946,False,,,True,False,False,,,,,,,False,,,True,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
1947,,False,,,,,,False,,,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,
1948,,,,,,,False,,,False,,,,True,False,False,,False,,,,,,,,,,,,,,,,,,,,False,,,,,
1949,False,,False,False,,True,,,False,,False,True,False,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,
1950,,False,,False,,,,,,,,,,,,,False,,,,True,,,,,,,,,,,,,,,,,,,,,,
1951,False,,,,False,False,,False,,False,,,,True,False,,False,,,False,True,,,,,,,,,,,,,,,,,,,,,,
1952,,,,,,,False,,,,,,,,,True,,,False,,,,,,,,,,,,,,,,,,,True,,,,,
1953,,False,False,,,,,,False,,True,True,False,,,,,False,False,,False,,,,,,,,,,,,,,,,,,,,,,
1954,False,,,False,,False,,,,False,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955,False,,,,,,,False,,,,,,,,,True,,True,False,False,,,,,,,,,,,,,,,,,,,,,,
1956,,,,,False,,False,,,,True,,False,,,False,,,,,,,,,,,,,,,,,,,,,,False,,,,,
1957,,False,False,,,True,,,False,,,False,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,False,,,False,True,,False,,True,True,,,,,,,,False,True,,,,,,,,,,,,,,,,,,,,,,,,
1959,,,,,,,,False,,,True,,False,False,,True,False,,,False,,,,,,,,,,,,,,,,,,,,,,,
1960,,False,,,,True,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,True,,,,,
1961,False,,False,False,,,,,,,,True,,,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,
1962,,,,,False,,,,True,True,True,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
1963,False,,,,,False,,False,False,,,,False,,,False,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
1964,,False,,,,,False,,,,,,,True,,,True,,,,,,,,,,,,,,,,,,,,,False,,,,,
1965,,,False,False,,,,,False,,,False,,,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,
1966,True,False,,,,False,,,,True,False,,,,,,False,,,,False,,,,,,,,,,,,,,,,,,,,,,
1967,,,,,False,,,False,,,,,False,,,False,,,False,,,,,,,,,,,,,,,,,,,,,,,,
1968,,False,,True,False,,False,,False,,,,,True,,,,False,,,,,,,,,,,,,,,,,,,,True,,,,,
1969,True,,False,,,False,,,,,,False,,,False,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,
1970,,,,,,,False,,,False,True,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,,False,,False,,,,False,,,False,,False,,,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,
1972,False,,,,,True,,,False,False,,False,,,,False,,False,False,,,,,,,,,,,,,,,,,,,False,,,,,
1973,,False,False,,False,,False,,,,,,,,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,
1974,False,,,False,,,,,False,,,,False,False,,,True,,,,,False,,,,,,,,,,,,,,,,,,,,,
1975,False,False,,,,True,,False,,False,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,
1976,,,,,,,False,,,,,False,,,,,,False,False,,False,,False,,,,,,,,,,False,,,,,True,,,,,
1977,False,False,False,False,,,,,,,,,,,False,False,,,,True,,False,,False,,,,,,,,,,,,,,,,,,,
1978,,,,True,True,True,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,,False,,,,,False,False,False,False,False,,False,False,,,True,False,False,,,,True,False,,,,,,,,,,,,,,,,,,,
1980,False,,,,,,,,False,,,False,,,,,,,False,,,,False,,,,,,,,,,,,,,,True,,,,,
1981,,False,False,False,False,False,,,,,,,,,False,True,,,,False,True,True,,,,,,,,,,,True,,,,,,,,,,
1982,,,,,,,False,,,,,,,,False,True,,,,,,,,True,,,,,,,,,,,,,,,,,,,
1983,False,,,,,,,True,,False,False,False,False,,,,False,False,False,,,,True,,False,,,,,,,,,,,,,,,,,,
1984,False,False,,,,False,,,True,,,,,False,,,,,,True,,,,,,,,,,,,,,,,,,False,,,,,
1985,,,False,False,,,False,,,,,,,,,,,,,,,False,True,,,,,,,,,,True,,,,,,,,,,
1986,,,,,False,,,,,,False,,,,,True,,,False,,,,,False,,,,,,,,,,,,,,,,,,,
1987,False,False,,False,,False,,False,,False,,False,False,,False,,False,False,,,False,,False,,False,,,,,,,,,,,,,,,,,,
1988,,False,,,False,,False,,False,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,False,,,,,True
1989,,,False,,,,,,,,,,,False,False,False,,,,,,True,,False,,,,,,,,,,,,,,,,,,False,
1990,False,False,,,,True,,,,,False,True,,,,,,,False,,,False,,,,False,False,,False,False,False,,,,,,,,,False,True,,
1991,,,,False,,,False,False,,True,,,False,,,,,,,,,,False,,True,,,,,,,False,False,,False,,,,,,,,
1992,,,,,,,,,,,,,,,False,,False,False,,True,False,,,,,True,,,True,True,True,,,True,,,False,True,,,True,,
1993,False,,False,,True,False,,,True,,,,,,,,,,False,,,True,,False,,,,True,,,,True,,,,,,,,,,False,
1994,,False,,,,,False,,,,False,True,,False,,True,,True,,,,,,,,,True,,,False,,,,,True,,,,,False,,,True
1995,,,,False,,,,True,,True,False,,False,,,,,,,,,,True,,True,,,,,,,,,,,,True,,,,,,
1996,False,,,,,False,,,,,,,,,,,,False,False,False,True,False,,True,,False,,False,True,,False,,False,True,,,,False,,,False,,
1997,,,False,,True,,,,False,,,,,,False,,True,,,,,,,,,,,,,,,True,,,True,,,,,,,,
1998,False,False,,,,,False,,,,,False,,,,False,,,,,True,,,,,True,False,,,False,,,,,,,,,,True,True,,
1999,,,,True,,True,,False,,False,False,,False,False,,,,,,False,,,False,,True,,,True,,,,,,,,,True,,,,,True,
2000,,,,,,,,,False,,,,,,,,,,False,,,False,,False,,,,,True,,False,,,True,,False,,True,,,,,True
2001,False,True,False,,,,,,,,,,,,,,False,True,,,,,,,,,,,,,,True,True,,True,,,,,,,,
2002,,,,,True,False,False,,,,True,False,,,False,True,,,,,,,True,,True,False,False,,,False,,,,,,,,,,True,False,,
2003,,,,False,,,,True,,True,,,False,,,False,,,True,True,False,,,,,,,False,,,,,,,,True,False,,,,,,
2004,True,,,,,,,,False,,,,,False,,,,,,,,True,,True,,,,,False,,True,,,True,,,,False,,,,,
2005,,False,False,,,False,,,,,,False,,,,,False,,True,,,,True,,,,,,,,,True,,,True,,,,,,,True,
2006,,,,,,,False,,True,,True,,,,,False,,True,,True,,,,,,True,False,,,True,,,False,,,,,,,False,True,,True
2007,True,False,,True,False,,,False,,False,,,False,,False,,,,,,,False,,,False,,,True,,,,True,,,,False,True,,,,,,
2008,,,,,,True,,,False,,False,,,,,,,True,,,False,,,False,,,,,False,,True,,,True,,,,True,,,,,
2009,,,False,,,,,,,,,True,True,False,,,,,True,False,,True,False,,,,,,,,,,,,True,,,,,,,True,
2010,False,,,True,,,False,,,,,,,,,True,True,,,,,,,,,True,True,,,False,,,,,,,,,,True,True,,
2011,,False,,,,False,,False,False,True,,,,,True,,,,,,,,True,True,False,,,True,,,True,False,True,,,True,False,,,,,,
2012,,,,,True,,,,,,,,,,,False,,,True,,,True,,,,,,,False,False,,,,True,,,,False,,,,,True
2013,False,,False,,,,,,,,False,False,True,False,,,,True,,True,True,,,,,False,,,,,,,,,False,,,,,,False,True,
2014,,,,False,,False,False,,,,,,,,,,,,False,,,,,,,,False,,,,True,,,,False,,,,,False,,,
2015,,True,,,,,,False,True,True,,,,,,,False,,,False,,True,False,False,False,,,False,,,,True,,,,True,False,,,,,,
2016,False,,,,,,,,,,,,False,,False,,,,,,,,,False,,,,,False,False,,,False,True,,False,,True,,,,,
2017,,,False,,True,False,,,,,True,False,False,,,False,False,,False,,False,,,,,True,,,,,,,,,False,,,,,,True,True,
2018,,,,,,,False,,,,,,,False,,,,True,,,,,,,False,,False,,,,True,,,,,,,,,True,,,True
2019,False,False,,False,,,,False,True,True,False,,,,,,False,,,True,,True,True,True,,,,True,,,,False,,,,,False,,,,,,
2020,,,,,,True,,,,,,,,,True,,,,,True,,,,,,,,,False,True,,,,True,,False,,True,,,,,
2021,,,False,,,,,,False,,,True,False,,,False,,,False,False,,,,,,True,,,,,,,False,,True,,,,,,True,True,
2022,False,False,,,False,,False,,,,,,,,,,,True,,False,False,,False,,,,False,,,,True,,,,True,,,,,True,,,
2023,,,,,,,,,,True,,,,,,,,,,,,False,,,False,,,True,,,,,,,False,,False,,,,,,
1907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,
1941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
