country,year,totalrefugees
Netherlands,1990,0.0
Netherlands,1991,0.0
Netherlands,1992,0.0
Netherlands,1993,0.0
Netherlands,1994,0.0
Netherlands,1995,0.0
Netherlands,1996,0.0
Netherlands,1997,0.0
Netherlands,1998,0.0
Netherlands,1999,0.0
Netherlands,2000,0.0
Netherlands,2001,0.0
Netherlands,2002,0.0
Netherlands,2003,0.0
Netherlands,2004,0.0
Netherlands,2005,0.0
Netherlands,2006,0.0
Netherlands,2007,0.0
Netherlands,2008,0.0
Netherlands,2009,0.0
Netherlands,2010,0.0
Netherlands,2011,0.0
Netherlands,2012,0.0
Netherlands,2013,0.0
Netherlands,2014,0.0
Netherlands,2015,0.0
Netherlands,2016,0.0
Netherlands,2017,0.0
Netherlands,2018,0.0
Netherlands,2019,0.0
Netherlands,2020,0.0
Netherlands,2021,0.0
United States,1990,12450.0
United States,1991,16317.0
United States,1992,19934.0
United States,1993,20276.0
United States,1994,19550.0
United States,1995,21519.0
United States,1996,21865.0
United States,1997,21308.0
United States,1998,19890.0
United States,1999,19177.0
United States,2000,15683.0
United States,2001,14414.0
United States,2002,13001.0
United States,2003,11279.0
United States,2004,11821.0
United States,2005,14990.0
United States,2006,29400.0
United States,2007,17728.0
United States,2008,18175.0
United States,2009,18733.0
United States,2010,18487.0
United States,2011,24013.0
United States,2012,26849.0
United States,2013,25891.0
United States,2014,24170.0
United States,2015,21508.0
United States,2016,18484.0
United States,2017,17055.0
United States,2018,16192.0
United States,2019,15698.0
United States,2020,2795.0
United States,2021,0.0
Estonia,1990,0.0
Estonia,1991,0.0
Estonia,1992,0.0
Estonia,1993,0.0
Estonia,1994,0.0
Estonia,1995,0.0
Estonia,1996,0.0
Estonia,1997,0.0
Estonia,1998,0.0
Estonia,1999,0.0
Estonia,2000,0.0
Estonia,2001,0.0
Estonia,2002,0.0
Estonia,2003,0.0
Estonia,2004,0.0
Estonia,2005,0.0
Estonia,2006,0.0
Estonia,2007,0.0
Estonia,2008,0.0
Estonia,2009,0.0
Estonia,2010,0.0
Estonia,2011,0.0
Estonia,2012,0.0
Estonia,2013,0.0
Estonia,2014,0.0
Estonia,2015,0.0
Estonia,2016,0.0
Estonia,2017,0.0
Estonia,2018,0.0
Estonia,2019,0.0
Estonia,2020,0.0
Estonia,2021,0.0
France,1990,0.0
France,1991,0.0
France,1992,0.0
France,1993,0.0
France,1994,15000.0
France,1995,5208.0
France,1996,5264.0
France,1997,5360.0
France,1998,5558.0
France,1999,5886.0
France,2000,3791.0
France,2001,3915.0
France,2002,5589.0
France,2003,5642.0
France,2004,6292.0
France,2005,6988.0
France,2006,7334.0
France,2007,7848.0
France,2008,8395.0
France,2009,9437.0
France,2010,9985.0
France,2011,10891.0
France,2012,11506.0
France,2013,11738.0
France,2014,2522.0
France,2015,2911.0
France,2016,3568.0
France,2017,4349.0
France,2018,5119.0
France,2019,5829.0
France,2020,6040.0
France,2021,0.0
Colombia,1990,0.0
Colombia,1991,0.0
Colombia,1992,0.0
Colombia,1993,0.0
Colombia,1994,0.0
Colombia,1995,0.0
Colombia,1996,0.0
Colombia,1997,0.0
Colombia,1998,0.0
Colombia,1999,0.0
Colombia,2000,0.0
Colombia,2001,0.0
Colombia,2002,0.0
Colombia,2003,0.0
Colombia,2004,0.0
Colombia,2005,0.0
Colombia,2006,0.0
Colombia,2007,0.0
Colombia,2008,0.0
Colombia,2009,0.0
Colombia,2010,0.0
Colombia,2011,0.0
Colombia,2012,0.0
Colombia,2013,0.0
Colombia,2014,0.0
Colombia,2015,0.0
Colombia,2016,0.0
Colombia,2017,0.0
Colombia,2018,0.0
Colombia,2019,0.0
Colombia,2020,0.0
Colombia,2021,0.0
United Kingdom,1990,0.0
United Kingdom,1991,0.0
United Kingdom,1992,0.0
United Kingdom,1993,0.0
United Kingdom,1994,0.0
United Kingdom,1995,0.0
United Kingdom,1996,0.0
United Kingdom,1997,0.0
United Kingdom,1998,0.0
United Kingdom,1999,0.0
United Kingdom,2000,0.0
United Kingdom,2001,0.0
United Kingdom,2002,0.0
United Kingdom,2003,0.0
United Kingdom,2004,0.0
United Kingdom,2005,0.0
United Kingdom,2006,0.0
United Kingdom,2007,0.0
United Kingdom,2008,0.0
United Kingdom,2009,0.0
United Kingdom,2010,0.0
United Kingdom,2011,0.0
United Kingdom,2012,0.0
United Kingdom,2013,0.0
United Kingdom,2014,0.0
United Kingdom,2015,0.0
United Kingdom,2016,0.0
United Kingdom,2017,0.0
United Kingdom,2018,0.0
United Kingdom,2019,0.0
United Kingdom,2020,0.0
United Kingdom,2021,0.0
Austria,1990,0.0
Austria,1991,0.0
Austria,1992,42918.0
Austria,1993,39728.0
Austria,1994,0.0
Austria,1995,0.0
Austria,1996,74131.0
Austria,1997,69885.0
Austria,1998,68087.0
Austria,1999,5237.0
Austria,2000,3931.0
Austria,2001,4099.0
Austria,2002,4138.0
Austria,2003,4265.0
Austria,2004,4715.0
Austria,2005,5091.0
Austria,2006,5485.0
Austria,2007,5783.0
Austria,2008,6218.0
Austria,2009,3473.0
Austria,2010,3353.0
Austria,2011,3290.0
Austria,2012,3165.0
Austria,2013,3075.0
Austria,2014,2683.0
Austria,2015,2199.0
Austria,2016,13773.0
Austria,2017,11301.0
Austria,2018,9946.0
Austria,2019,8664.0
Austria,2020,8080.0
Austria,2021,0.0
Czechia,1990,0.0
Czechia,1991,0.0
Czechia,1992,0.0
Czechia,1993,0.0
Czechia,1994,0.0
Czechia,1995,0.0
Czechia,1996,0.0
Czechia,1997,0.0
Czechia,1998,0.0
Czechia,1999,0.0
Czechia,2000,0.0
Czechia,2001,0.0
Czechia,2002,0.0
Czechia,2003,0.0
Czechia,2004,0.0
Czechia,2005,0.0
Czechia,2006,0.0
Czechia,2007,0.0
Czechia,2008,0.0
Czechia,2009,0.0
Czechia,2010,0.0
Czechia,2011,0.0
Czechia,2012,0.0
Czechia,2013,0.0
Czechia,2014,0.0
Czechia,2015,0.0
Czechia,2016,0.0
Czechia,2017,0.0
Czechia,2018,0.0
Czechia,2019,0.0
Czechia,2020,0.0
Czechia,2021,0.0
Chile,1990,0.0
Chile,1991,0.0
Chile,1992,0.0
Chile,1993,0.0
Chile,1994,0.0
Chile,1995,0.0
Chile,1996,0.0
Chile,1997,0.0
Chile,1998,0.0
Chile,1999,0.0
Chile,2000,0.0
Chile,2001,0.0
Chile,2002,0.0
Chile,2003,0.0
Chile,2004,0.0
Chile,2005,0.0
Chile,2006,0.0
Chile,2007,0.0
Chile,2008,0.0
Chile,2009,0.0
Chile,2010,0.0
Chile,2011,0.0
Chile,2012,0.0
Chile,2013,0.0
Chile,2014,0.0
Chile,2015,0.0
Chile,2016,0.0
Chile,2017,0.0
Chile,2018,0.0
Chile,2019,0.0
Chile,2020,0.0
Chile,2021,0.0
Mexico,1990,45412.0
Mexico,1991,49030.0
Mexico,1992,49846.0
Mexico,1993,47246.0
Mexico,1994,42903.0
Mexico,1995,35583.0
Mexico,1996,32593.0
Mexico,1997,30061.0
Mexico,1998,26646.0
Mexico,1999,22116.0
Mexico,2000,16031.0
Mexico,2001,12953.0
Mexico,2002,10594.0
Mexico,2003,4116.0
Mexico,2004,2374.0
Mexico,2005,0.0
Mexico,2006,0.0
Mexico,2007,0.0
Mexico,2008,0.0
Mexico,2009,0.0
Mexico,2010,0.0
Mexico,2011,0.0
Mexico,2012,0.0
Mexico,2013,0.0
Mexico,2014,0.0
Mexico,2015,0.0
Mexico,2016,2126.0
Mexico,2017,2895.0
Mexico,2018,4656.0
Mexico,2019,9257.0
Mexico,2020,11833.0
Mexico,2021,0.0
Norway,1990,0.0
Norway,1991,0.0
Norway,1992,0.0
Norway,1993,0.0
Norway,1994,0.0
Norway,1995,0.0
Norway,1996,0.0
Norway,1997,0.0
Norway,1998,0.0
Norway,1999,0.0
Norway,2000,0.0
Norway,2001,0.0
Norway,2002,0.0
Norway,2003,0.0
Norway,2004,2249.0
Norway,2005,2694.0
Norway,2006,3034.0
Norway,2007,3552.0
Norway,2008,3790.0
Norway,2009,3969.0
Norway,2010,4104.0
Norway,2011,4056.0
Norway,2012,3875.0
Norway,2013,3334.0
Norway,2014,2328.0
Norway,2015,0.0
Norway,2016,0.0
Norway,2017,0.0
Norway,2018,0.0
Norway,2019,0.0
Norway,2020,0.0
Norway,2021,0.0
Turkey,1990,0.0
Turkey,1991,28049.0
Turkey,1992,15083.0
Turkey,1993,16773.0
Turkey,1994,20000.0
Turkey,1995,5614.0
Turkey,1996,3029.0
Turkey,1997,0.0
Turkey,1998,0.0
Turkey,1999,0.0
Turkey,2000,0.0
Turkey,2001,0.0
Turkey,2002,0.0
Turkey,2003,0.0
Turkey,2004,0.0
Turkey,2005,0.0
Turkey,2006,2135.0
Turkey,2007,2148.0
Turkey,2008,2105.0
Turkey,2009,6194.0
Turkey,2010,5277.0
Turkey,2011,7071.0
Turkey,2012,9478.0
Turkey,2013,3321.0
Turkey,2014,3388.0
Turkey,2015,5262.0
Turkey,2016,6966.0
Turkey,2017,8308.0
Turkey,2018,8731.0
Turkey,2019,3576370.0
Turkey,2020,3574836.0
Turkey,2021,0.0
Denmark,1990,0.0
Denmark,1991,0.0
Denmark,1992,0.0
Denmark,1993,0.0
Denmark,1994,0.0
Denmark,1995,0.0
Denmark,1996,0.0
Denmark,1997,0.0
Denmark,1998,0.0
Denmark,1999,0.0
Denmark,2000,0.0
Denmark,2001,0.0
Denmark,2002,0.0
Denmark,2003,0.0
Denmark,2004,0.0
Denmark,2005,0.0
Denmark,2006,0.0
Denmark,2007,0.0
Denmark,2008,0.0
Denmark,2009,0.0
Denmark,2010,0.0
Denmark,2011,0.0
Denmark,2012,0.0
Denmark,2013,0.0
Denmark,2014,0.0
Denmark,2015,0.0
Denmark,2016,0.0
Denmark,2017,0.0
Denmark,2018,0.0
Denmark,2019,0.0
Denmark,2020,0.0
Denmark,2021,0.0
Korea,1990,0.0
Korea,1991,0.0
Korea,1992,0.0
Korea,1993,0.0
Korea,1994,0.0
Korea,1995,0.0
Korea,1996,0.0
Korea,1997,0.0
Korea,1998,0.0
Korea,1999,0.0
Korea,2000,0.0
Korea,2001,0.0
Korea,2002,0.0
Korea,2003,0.0
Korea,2004,0.0
Korea,2005,0.0
Korea,2006,0.0
Korea,2007,0.0
Korea,2008,0.0
Korea,2009,0.0
Korea,2010,0.0
Korea,2011,0.0
Korea,2012,0.0
Korea,2013,0.0
Korea,2014,0.0
Korea,2015,0.0
Korea,2016,0.0
Korea,2017,0.0
Korea,2018,0.0
Korea,2019,0.0
Korea,2020,0.0
Korea,2021,0.0
Poland,1990,0.0
Poland,1991,0.0
Poland,1992,2500.0
Poland,1993,0.0
Poland,1994,0.0
Poland,1995,0.0
Poland,1996,0.0
Poland,1997,0.0
Poland,1998,0.0
Poland,1999,0.0
Poland,2000,0.0
Poland,2001,0.0
Poland,2002,0.0
Poland,2003,0.0
Poland,2004,0.0
Poland,2005,3785.0
Poland,2006,6024.0
Poland,2007,9355.0
Poland,2008,12034.0
Poland,2009,14510.0
Poland,2010,14730.0
Poland,2011,14897.0
Poland,2012,14938.0
Poland,2013,15149.0
Poland,2014,14277.0
Poland,2015,12304.0
Poland,2016,9864.0
Poland,2017,9950.0
Poland,2018,9893.0
Poland,2019,9870.0
Poland,2020,9855.0
Poland,2021,0.0
Australia,1990,0.0
Australia,1991,0.0
Australia,1992,0.0
Australia,1993,0.0
Australia,1994,0.0
Australia,1995,0.0
Australia,1996,0.0
Australia,1997,0.0
Australia,1998,0.0
Australia,1999,0.0
Australia,2000,0.0
Australia,2001,0.0
Australia,2002,0.0
Australia,2003,0.0
Australia,2004,0.0
Australia,2005,0.0
Australia,2006,0.0
Australia,2007,0.0
Australia,2008,0.0
Australia,2009,0.0
Australia,2010,0.0
Australia,2011,0.0
Australia,2012,0.0
Australia,2013,0.0
Australia,2014,0.0
Australia,2015,0.0
Australia,2016,0.0
Australia,2017,0.0
Australia,2018,0.0
Australia,2019,0.0
Australia,2020,0.0
Australia,2021,0.0
Slovenia,1990,0.0
Slovenia,1991,0.0
Slovenia,1992,72440.0
Slovenia,1993,44321.0
Slovenia,1994,29156.0
Slovenia,1995,18804.0
Slovenia,1996,8337.0
Slovenia,1997,4636.0
Slovenia,1998,3462.0
Slovenia,1999,3122.0
Slovenia,2000,2804.0
Slovenia,2001,2381.0
Slovenia,2002,0.0
Slovenia,2003,2001.0
Slovenia,2004,0.0
Slovenia,2005,0.0
Slovenia,2006,0.0
Slovenia,2007,0.0
Slovenia,2008,0.0
Slovenia,2009,0.0
Slovenia,2010,0.0
Slovenia,2011,0.0
Slovenia,2012,0.0
Slovenia,2013,0.0
Slovenia,2014,0.0
Slovenia,2015,0.0
Slovenia,2016,0.0
Slovenia,2017,0.0
Slovenia,2018,0.0
Slovenia,2019,0.0
Slovenia,2020,0.0
Slovenia,2021,0.0
New Zealand,1990,0.0
New Zealand,1991,0.0
New Zealand,1992,0.0
New Zealand,1993,0.0
New Zealand,1994,0.0
New Zealand,1995,0.0
New Zealand,1996,0.0
New Zealand,1997,0.0
New Zealand,1998,0.0
New Zealand,1999,0.0
New Zealand,2000,0.0
New Zealand,2001,0.0
New Zealand,2002,0.0
New Zealand,2003,0.0
New Zealand,2004,0.0
New Zealand,2005,0.0
New Zealand,2006,0.0
New Zealand,2007,0.0
New Zealand,2008,0.0
New Zealand,2009,0.0
New Zealand,2010,0.0
New Zealand,2011,0.0
New Zealand,2012,0.0
New Zealand,2013,0.0
New Zealand,2014,0.0
New Zealand,2015,0.0
New Zealand,2016,0.0
New Zealand,2017,0.0
New Zealand,2018,0.0
New Zealand,2019,0.0
New Zealand,2020,0.0
New Zealand,2021,0.0
