country,year,totalrefugees
Luxembourg,1990,0.0
Luxembourg,1991,0.0
Luxembourg,1992,0.0
Luxembourg,1993,0.0
Luxembourg,1994,0.0
Luxembourg,1995,0.0
Luxembourg,1996,0.0
Luxembourg,1997,0.0
Luxembourg,1998,0.0
Luxembourg,1999,0.0
Luxembourg,2000,0.0
Luxembourg,2001,0.0
Luxembourg,2002,0.0
Luxembourg,2003,0.0
Luxembourg,2004,0.0
Luxembourg,2005,0.0
Luxembourg,2006,0.0
Luxembourg,2007,0.0
Luxembourg,2008,0.0
Luxembourg,2009,0.0
Luxembourg,2010,0.0
Luxembourg,2011,0.0
Luxembourg,2012,0.0
Luxembourg,2013,0.0
Luxembourg,2014,0.0
Luxembourg,2015,0.0
Luxembourg,2016,0.0
Luxembourg,2017,0.0
Luxembourg,2018,0.0
Luxembourg,2019,0.0
Luxembourg,2020,0.0
Luxembourg,2021,0.0
Israel,1990,0.0
Israel,1991,0.0
Israel,1992,0.0
Israel,1993,0.0
Israel,1994,0.0
Israel,1995,0.0
Israel,1996,0.0
Israel,1997,0.0
Israel,1998,0.0
Israel,1999,0.0
Israel,2000,3909.0
Israel,2001,3909.0
Israel,2002,3909.0
Israel,2003,3909.0
Israel,2004,0.0
Israel,2005,0.0
Israel,2006,0.0
Israel,2007,0.0
Israel,2008,4326.0
Israel,2009,5502.0
Israel,2010,8137.0
Israel,2011,9000.0
Israel,2012,10743.0
Israel,2013,12542.0
Israel,2014,6588.0
Israel,2015,4647.0
Israel,2016,4647.0
Israel,2017,3187.0
Israel,2018,3351.0
Israel,2019,3248.0
Israel,2020,0.0
Israel,2021,0.0
Japan,1990,0.0
Japan,1991,0.0
Japan,1992,0.0
Japan,1993,0.0
Japan,1994,0.0
Japan,1995,0.0
Japan,1996,0.0
Japan,1997,0.0
Japan,1998,0.0
Japan,1999,0.0
Japan,2000,0.0
Japan,2001,0.0
Japan,2002,0.0
Japan,2003,0.0
Japan,2004,0.0
Japan,2005,0.0
Japan,2006,0.0
Japan,2007,0.0
Japan,2008,0.0
Japan,2009,0.0
Japan,2010,0.0
Japan,2011,0.0
Japan,2012,0.0
Japan,2013,0.0
Japan,2014,0.0
Japan,2015,0.0
Japan,2016,0.0
Japan,2017,0.0
Japan,2018,0.0
Japan,2019,0.0
Japan,2020,0.0
Japan,2021,0.0
Portugal,1990,0.0
Portugal,1991,0.0
Portugal,1992,0.0
Portugal,1993,0.0
Portugal,1994,0.0
Portugal,1995,0.0
Portugal,1996,0.0
Portugal,1997,0.0
Portugal,1998,0.0
Portugal,1999,0.0
Portugal,2000,0.0
Portugal,2001,0.0
Portugal,2002,0.0
Portugal,2003,0.0
Portugal,2004,0.0
Portugal,2005,0.0
Portugal,2006,0.0
Portugal,2007,0.0
Portugal,2008,0.0
Portugal,2009,0.0
Portugal,2010,0.0
Portugal,2011,0.0
Portugal,2012,0.0
Portugal,2013,0.0
Portugal,2014,0.0
Portugal,2015,0.0
Portugal,2016,0.0
Portugal,2017,0.0
Portugal,2018,0.0
Portugal,2019,0.0
Portugal,2020,0.0
Portugal,2021,0.0
Italy,1990,0.0
Italy,1991,0.0
Italy,1992,0.0
Italy,1993,0.0
Italy,1994,0.0
Italy,1995,12360.0
Italy,1996,11300.0
Italy,1997,11013.0
Italy,1998,0.0
Italy,1999,2100.0
Italy,2000,0.0
Italy,2001,0.0
Italy,2002,2227.0
Italy,2003,2230.0
Italy,2004,2302.0
Italy,2005,2475.0
Italy,2006,2721.0
Italy,2007,4304.0
Italy,2008,4244.0
Italy,2009,3530.0
Italy,2010,3565.0
Italy,2011,2761.0
Italy,2012,2511.0
Italy,2013,2673.0
Italy,2014,2686.0
Italy,2015,2620.0
Italy,2016,2885.0
Italy,2017,4947.0
Italy,2018,5861.0
Italy,2019,6353.0
Italy,2020,6572.0
Italy,2021,0.0
Latvia,1990,0.0
Latvia,1991,0.0
Latvia,1992,0.0
Latvia,1993,0.0
Latvia,1994,0.0
Latvia,1995,0.0
Latvia,1996,0.0
Latvia,1997,0.0
Latvia,1998,0.0
Latvia,1999,0.0
Latvia,2000,0.0
Latvia,2001,0.0
Latvia,2002,0.0
Latvia,2003,0.0
Latvia,2004,0.0
Latvia,2005,0.0
Latvia,2006,0.0
Latvia,2007,0.0
Latvia,2008,0.0
Latvia,2009,0.0
Latvia,2010,0.0
Latvia,2011,0.0
Latvia,2012,0.0
Latvia,2013,0.0
Latvia,2014,0.0
Latvia,2015,0.0
Latvia,2016,0.0
Latvia,2017,0.0
Latvia,2018,0.0
Latvia,2019,0.0
Latvia,2020,0.0
Latvia,2021,0.0
Costa Rica,1990,6277.0
Costa Rica,1991,6305.0
Costa Rica,1992,5636.0
Costa Rica,1993,4306.0
Costa Rica,1994,4207.0
Costa Rica,1995,4154.0
Costa Rica,1996,3998.0
Costa Rica,1997,3968.0
Costa Rica,1998,3911.0
Costa Rica,1999,3861.0
Costa Rica,2000,2715.0
Costa Rica,2001,2636.0
Costa Rica,2002,2635.0
Costa Rica,2003,2632.0
Costa Rica,2004,8750.0
Costa Rica,2005,9470.0
Costa Rica,2006,9699.0
Costa Rica,2007,9739.0
Costa Rica,2008,9939.0
Costa Rica,2009,10199.0
Costa Rica,2010,10214.0
Costa Rica,2011,10297.0
Costa Rica,2012,10305.0
Costa Rica,2013,16586.0
Costa Rica,2014,16623.0
Costa Rica,2015,2247.0
Costa Rica,2016,2335.0
Costa Rica,2017,2340.0
Costa Rica,2018,2258.0
Costa Rica,2019,2325.0
Costa Rica,2020,3397.0
Costa Rica,2021,0.0
Switzerland,1990,0.0
Switzerland,1991,0.0
Switzerland,1992,0.0
Switzerland,1993,2332.0
Switzerland,1994,4883.0
Switzerland,1995,4499.0
Switzerland,1996,5144.0
Switzerland,1997,7038.0
Switzerland,1998,3006.0
Switzerland,1999,4481.0
Switzerland,2000,9309.0
Switzerland,2001,12493.0
Switzerland,2002,12001.0
Switzerland,2003,11249.0
Switzerland,2004,10956.0
Switzerland,2005,10586.0
Switzerland,2006,9827.0
Switzerland,2007,8315.0
Switzerland,2008,7397.0
Switzerland,2009,6491.0
Switzerland,2010,5288.0
Switzerland,2011,4457.0
Switzerland,2012,4083.0
Switzerland,2013,3542.0
Switzerland,2014,3380.0
Switzerland,2015,3158.0
Switzerland,2016,2976.0
Switzerland,2017,2777.0
Switzerland,2018,0.0
Switzerland,2019,0.0
Switzerland,2020,0.0
Switzerland,2021,0.0
Greece,1990,0.0
Greece,1991,0.0
Greece,1992,0.0
Greece,1993,0.0
Greece,1994,0.0
Greece,1995,0.0
Greece,1996,0.0
Greece,1997,0.0
Greece,1998,2274.0
Greece,1999,2274.0
Greece,2000,2327.0
Greece,2001,2430.0
Greece,2002,0.0
Greece,2003,0.0
Greece,2004,0.0
Greece,2005,0.0
Greece,2006,0.0
Greece,2007,0.0
Greece,2008,0.0
Greece,2009,0.0
Greece,2010,0.0
Greece,2011,0.0
Greece,2012,0.0
Greece,2013,0.0
Greece,2014,3913.0
Greece,2015,9101.0
Greece,2016,14420.0
Greece,2017,13714.0
Greece,2018,23931.0
Greece,2019,26696.0
Greece,2020,36013.0
Greece,2021,0.0
Belgium,1990,0.0
Belgium,1991,0.0
Belgium,1992,0.0
Belgium,1993,0.0
Belgium,1994,0.0
Belgium,1995,0.0
Belgium,1996,4466.0
Belgium,1997,4466.0
Belgium,1998,0.0
Belgium,1999,0.0
Belgium,2000,0.0
Belgium,2001,0.0
Belgium,2002,0.0
Belgium,2003,0.0
Belgium,2004,0.0
Belgium,2005,0.0
Belgium,2006,0.0
Belgium,2007,0.0
Belgium,2008,0.0
Belgium,2009,0.0
Belgium,2010,0.0
Belgium,2011,0.0
Belgium,2012,0.0
Belgium,2013,0.0
Belgium,2014,0.0
Belgium,2015,0.0
Belgium,2016,0.0
Belgium,2017,0.0
Belgium,2018,0.0
Belgium,2019,0.0
Belgium,2020,0.0
Belgium,2021,0.0
Sweden,1990,6091.0
Sweden,1991,6079.0
Sweden,1992,3121.0
Sweden,1993,2577.0
Sweden,1994,2152.0
Sweden,1995,0.0
Sweden,1996,0.0
Sweden,1997,0.0
Sweden,1998,0.0
Sweden,1999,0.0
Sweden,2000,0.0
Sweden,2001,0.0
Sweden,2002,0.0
Sweden,2003,0.0
Sweden,2004,0.0
Sweden,2005,0.0
Sweden,2006,0.0
Sweden,2007,0.0
Sweden,2008,0.0
Sweden,2009,0.0
Sweden,2010,0.0
Sweden,2011,0.0
Sweden,2012,0.0
Sweden,2013,0.0
Sweden,2014,2014.0
Sweden,2015,2003.0
Sweden,2016,0.0
Sweden,2017,0.0
Sweden,2018,0.0
Sweden,2019,0.0
Sweden,2020,0.0
Sweden,2021,0.0
Canada,1990,0.0
Canada,1991,0.0
Canada,1992,0.0
Canada,1993,0.0
Canada,1994,0.0
Canada,1995,0.0
Canada,1996,0.0
Canada,1997,0.0
Canada,1998,0.0
Canada,1999,0.0
Canada,2000,0.0
Canada,2001,0.0
Canada,2002,0.0
Canada,2003,0.0
Canada,2004,0.0
Canada,2005,0.0
Canada,2006,0.0
Canada,2007,0.0
Canada,2008,0.0
Canada,2009,2019.0
Canada,2010,2637.0
Canada,2011,3384.0
Canada,2012,4045.0
Canada,2013,4451.0
Canada,2014,4687.0
Canada,2015,4573.0
Canada,2016,0.0
Canada,2017,0.0
Canada,2018,0.0
Canada,2019,0.0
Canada,2020,0.0
Canada,2021,0.0
Ireland,1990,0.0
Ireland,1991,0.0
Ireland,1992,0.0
Ireland,1993,0.0
Ireland,1994,0.0
Ireland,1995,0.0
Ireland,1996,0.0
Ireland,1997,0.0
Ireland,1998,0.0
Ireland,1999,0.0
Ireland,2000,0.0
Ireland,2001,0.0
Ireland,2002,0.0
Ireland,2003,0.0
Ireland,2004,0.0
Ireland,2005,0.0
Ireland,2006,0.0
Ireland,2007,0.0
Ireland,2008,0.0
Ireland,2009,0.0
Ireland,2010,0.0
Ireland,2011,0.0
Ireland,2012,0.0
Ireland,2013,0.0
Ireland,2014,0.0
Ireland,2015,0.0
Ireland,2016,0.0
Ireland,2017,0.0
Ireland,2018,0.0
Ireland,2019,0.0
Ireland,2020,0.0
Ireland,2021,0.0
Hungary,1990,29480.0
Hungary,1991,43000.0
Hungary,1992,29500.0
Hungary,1993,2138.0
Hungary,1994,0.0
Hungary,1995,8553.0
Hungary,1996,4706.0
Hungary,1997,3243.0
Hungary,1998,0.0
Hungary,1999,0.0
Hungary,2000,2344.0
Hungary,2001,0.0
Hungary,2002,0.0
Hungary,2003,0.0
Hungary,2004,2251.0
Hungary,2005,2388.0
Hungary,2006,2359.0
Hungary,2007,2329.0
Hungary,2008,2143.0
Hungary,2009,0.0
Hungary,2010,0.0
Hungary,2011,0.0
Hungary,2012,0.0
Hungary,2013,0.0
Hungary,2014,0.0
Hungary,2015,0.0
Hungary,2016,0.0
Hungary,2017,0.0
Hungary,2018,0.0
Hungary,2019,0.0
Hungary,2020,0.0
Hungary,2021,0.0
Lithuania,1990,0.0
Lithuania,1991,0.0
Lithuania,1992,0.0
Lithuania,1993,0.0
Lithuania,1994,0.0
Lithuania,1995,0.0
Lithuania,1996,0.0
Lithuania,1997,0.0
Lithuania,1998,0.0
Lithuania,1999,0.0
Lithuania,2000,0.0
Lithuania,2001,0.0
Lithuania,2002,0.0
Lithuania,2003,0.0
Lithuania,2004,0.0
Lithuania,2005,0.0
Lithuania,2006,0.0
Lithuania,2007,0.0
Lithuania,2008,0.0
Lithuania,2009,0.0
Lithuania,2010,0.0
Lithuania,2011,0.0
Lithuania,2012,0.0
Lithuania,2013,0.0
Lithuania,2014,0.0
Lithuania,2015,0.0
Lithuania,2016,0.0
Lithuania,2017,0.0
Lithuania,2018,0.0
Lithuania,2019,0.0
Lithuania,2020,0.0
Lithuania,2021,0.0
Spain,1990,0.0
Spain,1991,0.0
Spain,1992,0.0
Spain,1993,0.0
Spain,1994,0.0
Spain,1995,0.0
Spain,1996,0.0
Spain,1997,0.0
Spain,1998,0.0
Spain,1999,0.0
Spain,2000,0.0
Spain,2001,0.0
Spain,2002,0.0
Spain,2003,0.0
Spain,2004,0.0
Spain,2005,0.0
Spain,2006,0.0
Spain,2007,0.0
Spain,2008,0.0
Spain,2009,0.0
Spain,2010,0.0
Spain,2011,0.0
Spain,2012,0.0
Spain,2013,0.0
Spain,2014,0.0
Spain,2015,0.0
Spain,2016,0.0
Spain,2017,0.0
Spain,2018,0.0
Spain,2019,0.0
Spain,2020,0.0
Spain,2021,0.0
Germany,1990,0.0
Germany,1991,0.0
Germany,1992,0.0
Germany,1993,0.0
Germany,1994,350000.0
Germany,1995,320000.0
Germany,1996,330000.0
Germany,1997,245000.0
Germany,1998,100000.0
Germany,1999,50000.0
Germany,2000,0.0
Germany,2001,24000.0
Germany,2002,183170.0
Germany,2003,13769.0
Germany,2004,9292.0
Germany,2005,18265.0
Germany,2006,2431.0
Germany,2007,5926.0
Germany,2008,5729.0
Germany,2009,2310.0
Germany,2010,2275.0
Germany,2011,4280.0
Germany,2012,4614.0
Germany,2013,8410.0
Germany,2014,9294.0
Germany,2015,9157.0
Germany,2016,9189.0
Germany,2017,9232.0
Germany,2018,8119.0
Germany,2019,8722.0
Germany,2020,8548.0
Germany,2021,0.0
Iceland,1990,0.0
Iceland,1991,0.0
Iceland,1992,0.0
Iceland,1993,0.0
Iceland,1994,0.0
Iceland,1995,0.0
Iceland,1996,0.0
Iceland,1997,0.0
Iceland,1998,0.0
Iceland,1999,0.0
Iceland,2000,0.0
Iceland,2001,0.0
Iceland,2002,0.0
Iceland,2003,0.0
Iceland,2004,0.0
Iceland,2005,0.0
Iceland,2006,0.0
Iceland,2007,0.0
Iceland,2008,0.0
Iceland,2009,0.0
Iceland,2010,0.0
Iceland,2011,0.0
Iceland,2012,0.0
Iceland,2013,0.0
Iceland,2014,0.0
Iceland,2015,0.0
Iceland,2016,0.0
Iceland,2017,0.0
Iceland,2018,0.0
Iceland,2019,0.0
Iceland,2020,0.0
Iceland,2021,0.0
Finland,1990,0.0
Finland,1991,0.0
Finland,1992,0.0
Finland,1993,0.0
Finland,1994,0.0
Finland,1995,0.0
Finland,1996,0.0
Finland,1997,0.0
Finland,1998,0.0
Finland,1999,0.0
Finland,2000,0.0
Finland,2001,0.0
Finland,2002,0.0
Finland,2003,0.0
Finland,2004,0.0
Finland,2005,0.0
Finland,2006,0.0
Finland,2007,0.0
Finland,2008,0.0
Finland,2009,0.0
Finland,2010,0.0
Finland,2011,0.0
Finland,2012,0.0
Finland,2013,0.0
Finland,2014,0.0
Finland,2015,0.0
Finland,2016,0.0
Finland,2017,0.0
Finland,2018,0.0
Finland,2019,0.0
Finland,2020,0.0
Finland,2021,0.0
